,Answer.1-Conf,Answer.2-Conf,Answer.3-Conf,Answer.4-Conf,Answer.5-Conf,Answer.6-Conf,Answer.7-Conf,Answer.8-Conf,Answer.9-Conf,Answer.10-Conf,Answer.11-Conf,Answer.12-Conf,Answer.13-Conf,Answer.14-Conf,Answer.15-Conf,Answer.16-Conf
0,7,5,5,12,5,6,6,13,6,6,5,12,5,6,7,11
1,4,6,5,5,4,7,5,5,5,7,8,6,4,6,7,7
2,6,5,5,6,5,7,7,7,6,9,6,6,5,5,6,6
3,3,8,5,6,5,5,7,7,6,6,6,6,4,6,7,5
4,5,9,6,6,4,8,7,4,7,9,7,5,8,9,10,4
5,10,11,10,10,10,11,11,11,9,9,8,9,10,8,8,10
6,10,4,11,6,6,5,12,4,4,9,9,6,5,4,10,4
7,6,10,4,12,6,12,4,11,3,11,6,10,5,11,6,11
8,5,8,11,3,8,6,11,4,8,4,12,4,8,4,12,5
9,11,9,6,5,11,10,3,9,8,9,7,6,6,6,9,9
10,12,8,5,5,13,10,3,4,11,11,7,5,11,9,4,5
11,5,3,13,10,4,5,6,6,3,5,9,6,3,4,8,3
12,4,11,8,8,9,11,6,7,9,11,8,8,9,12,8,7
13,11,7,4,5,12,12,12,9,12,9,8,9,10,8,10,7
14,9,8,8,6,8,8,8,7,7,7,11,6,7,10,10,10
15,4,7,3,6,6,4,4,5,5,10,6,7,7,8,4,8
16,6,7,4,3,4,9,6,4,4,5,3,3,4,11,6,6
17,10,4,5,2,8,3,12,5,7,4,3,5,6,4,5,6
18,5,8,4,3,8,8,8,3,5,9,2,1,4,11,6,3
19,9,8,5,4,5,4,4,4,4,4,4,3,4,3,4,4
20,11,8,11,11,11,11,11,11,12,11,12,11,11,11,10,10
21,3,3,6,5,2,4,11,3,3,5,7,4,3,7,4,12
22,10,9,9,6,3,8,7,2,3,4,6,5,2,5,9,5
23,11,7,6,6,6,6,5,3,8,3,3,4,4,3,5,5
24,1,5,5,3,4,3,5,7,4,7,7,8,5,6,9,10
25,10,6,6,11,12,7,7,10,12,9,7,10,11,9,7,10
26,9,12,12,9,9,7,9,8,10,10,9,10,8,8,11,8
27,4,5,5,7,3,2,4,9,3,5,3,7,3,4,3,7
28,11,6,8,4,5,5,7,3,9,2,8,4,9,4,6,3
29,4,3,9,12,9,9,7,12,11,10,10,10,9,9,9,11
30,7,8,8,8,8,8,8,8,10,8,7,10,8,6,6,6
31,12,11,8,10,8,11,8,6,6,10,9,9,10,11,7,7
32,9,4,1,3,9,5,3,5,8,6,2,2,6,6,4,4
33,13,13,13,12,12,12,12,13,13,13,12,12,12,13,12,12
34,13,11,12,10,11,11,11,10,7,7,7,9,8,5,5,9
35,9,5,3,12,8,5,4,11,11,6,5,11,9,7,4,10
36,9,5,4,9,12,5,4,9,10,4,2,9,10,3,3,11
37,4,12,10,11,7,12,8,11,6,11,6,11,5,10,6,10
38,6,8,5,8,5,9,4,6,4,9,5,8,4,9,7,6
39,9,12,4,5,7,12,10,4,7,10,10,2,9,12,8,4
40,4,5,10,13,7,5,10,11,7,6,10,12,5,4,10,12
41,7,3,8,9,5,8,8,10,8,7,10,11,6,8,10,12
42,7,6,11,10,4,5,10,12,6,4,11,11,4,3,12,11
43,9,5,11,5,9,7,9,5,9,6,10,5,10,5,10,7
44,4,7,10,4,4,3,9,5,5,3,11,6,4,4,4,5
45,9,10,8,9,11,11,10,8,11,11,10,9,10,11,8,9
46,3,8,5,12,7,8,10,11,7,8,9,13,5,6,8,12
47,4,3,8,6,5,4,7,6,5,4,8,7,6,5,8,8
48,4,6,9,10,6,7,8,8,6,7,8,13,5,6,9,10
49,10,4,5,6,6,9,7,7,9,8,7,7,8,9,7,6
50,8,9,5,10,11,5,8,11,8,7,8,10,9,6,6,11
51,6,10,11,7,6,11,10,6,5,11,11,6,7,13,11,5
52,5,7,4,11,9,7,5,6,7,3,7,9,8,6,5,8
53,13,8,4,5,13,7,7,7,12,9,9,6,13,7,7,8
54,11,9,5,7,9,10,8,8,6,8,6,9,9,10,10,7
55,7,5,5,13,5,5,8,12,5,5,5,11,11,6,5,11
56,7,9,8,9,7,8,7,7,7,7,6,8,7,7,7,7
57,8,9,10,8,8,10,9,9,8,8,11,9,8,9,11,9
58,3,11,4,13,6,10,4,12,8,10,5,12,6,8,5,12
59,4,7,4,8,6,6,5,11,6,5,6,11,5,5,4,7
60,11,6,11,5,10,6,8,6,11,8,7,7,11,6,8,5
61,4,3,3,7,7,5,6,8,9,6,8,10,8,6,7,9
62,11,4,4,8,7,6,5,12,8,4,4,8,8,5,4,9
63,10,3,2,3,11,6,5,5,11,7,5,6,11,6,5,5
64,6,6,5,12,4,3,3,13,3,3,7,11,5,4,6,12
65,9,8,8,7,8,7,7,8,9,7,8,8,10,6,7,7
66,4,3,11,8,6,3,9,9,4,6,12,9,5,6,9,10
67,4,4,8,4,5,5,7,4,5,7,6,4,5,4,7,5
68,11,12,6,5,12,11,6,5,10,10,4,4,9,10,4,5
69,7,11,11,9,8,12,9,10,7,11,11,11,8,11,7,10
70,5,6,8,12,6,8,8,13,6,4,8,11,7,4,7,11
71,5,5,12,6,5,5,9,6,6,6,9,6,6,5,10,6
72,9,6,10,9,8,7,9,11,7,6,12,10,8,8,11,10
73,9,7,9,5,11,8,10,7,10,9,10,5,11,6,8,6
74,9,7,11,11,10,6,9,11,8,6,9,12,11,9,10,11
75,3,6,11,7,8,7,12,12,4,4,10,8,7,8,12,6
76,9,7,5,7,10,9,6,11,9,10,6,6,11,11,6,7
77,10,7,8,8,8,9,9,7,9,9,9,7,7,6,8,9
78,12,5,6,9,9,6,6,8,11,5,4,12,9,10,6,9
79,12,3,11,4,9,3,10,4,7,6,10,4,8,5,7,4
80,7,3,8,12,12,6,10,11,8,5,4,4,7,4,7,9
81,10,10,7,5,7,10,7,7,10,10,6,7,8,10,6,7
82,9,6,5,10,8,6,5,9,8,6,4,7,9,8,8,8
83,8,4,7,6,9,3,6,6,8,4,7,4,8,4,5,5
84,8,7,6,7,7,10,6,8,9,9,6,13,10,9,6,9
85,8,10,5,7,8,10,9,7,6,11,7,9,8,12,9,8
86,4,10,7,11,10,11,8,9,6,7,5,11,6,11,9,10
87,11,10,2,5,10,12,4,5,12,12,4,7,10,11,4,5
